symbol,entry_time,exit_time,qty,entry_price,exit_price,realized_pnl,holding_seconds
NIFTY22110318150CE,2022-11-01 09:15:00,2022-11-01 09:48:41,1.0,69.65,84.0,14.349999999999994,2021.0
BANKNIFTY22110341600CE,2022-11-01 09:15:00,2022-11-01 09:15:40,1.0,270.0,264.8,-5.199999999999989,40.0
NIFTY22110318150PE,2022-11-01 09:15:00,2022-11-01 09:48:41,1.0,107.1,99.45,-7.6499999999999915,2021.0
BANKNIFTY22110341600PE,2022-11-01 09:15:00,2022-11-01 09:15:40,1.0,414.15,338.65,-75.5,40.0
BANKNIFTY22110341700PE,2022-11-01 09:15:40,2022-11-01 09:15:58,1.0,395.65,403.35,7.7000000000000455,18.0
BANKNIFTY22110341700CE,2022-11-01 09:15:40,2022-11-01 09:15:58,1.0,219.95,216.15,-3.799999999999983,18.0
BANKNIFTY22110341600CE,2022-11-01 09:15:58,2022-11-01 09:16:01,1.0,263.25,255.75,-7.5,3.0
BANKNIFTY22110341600PE,2022-11-01 09:15:58,2022-11-01 09:16:01,1.0,346.5,343.35,-3.1499999999999773,3.0
BANKNIFTY22110341700CE,2022-11-01 09:16:01,2022-11-01 09:16:02,1.0,210.05,212.55,2.5,1.0
BANKNIFTY22110341700PE,2022-11-01 09:16:01,2022-11-01 09:16:02,1.0,397.2,400.05,2.8500000000000227,1.0
BANKNIFTY22110341600PE,2022-11-01 09:16:02,2022-11-01 09:16:07,1.0,344.55,343.65,-0.9000000000000341,5.0
BANKNIFTY22110341600CE,2022-11-01 09:16:02,2022-11-01 09:16:07,1.0,258.3,261.45,3.1499999999999773,5.0
BANKNIFTY22110341700CE,2022-11-01 09:16:07,2022-11-01 09:16:09,1.0,214.15,215.15,1.0,2.0
BANKNIFTY22110341700PE,2022-11-01 09:16:07,2022-11-01 09:16:09,1.0,397.3,398.2,0.8999999999999773,2.0
BANKNIFTY22110341600PE,2022-11-01 09:16:09,2022-11-01 09:16:11,1.0,341.75,344.3,2.5500000000000114,2.0
BANKNIFTY22110341600CE,2022-11-01 09:16:09,2022-11-01 09:16:11,1.0,261.2,258.55,-2.6499999999999773,2.0
BANKNIFTY22110341700PE,2022-11-01 09:16:11,2022-11-01 09:16:12,1.0,397.75,400.65,2.8999999999999773,1.0
BANKNIFTY22110341700CE,2022-11-01 09:16:11,2022-11-01 09:16:12,1.0,214.95,213.1,-1.8499999999999943,1.0
BANKNIFTY22110341600PE,2022-11-01 09:16:12,2022-11-01 09:16:14,1.0,344.3,342.6,-1.6999999999999886,2.0
BANKNIFTY22110341600CE,2022-11-01 09:16:12,2022-11-01 09:16:14,1.0,258.6,259.15,0.5499999999999545,2.0
BANKNIFTY22110341700CE,2022-11-01 09:16:14,2022-11-01 09:16:17,1.0,213.85,211.85,-2.0,3.0
BANKNIFTY22110341700PE,2022-11-01 09:16:14,2022-11-01 09:16:17,1.0,397.55,400.3,2.75,3.0
BANKNIFTY22110341600PE,2022-11-01 09:16:17,2022-11-01 09:16:19,1.0,345.35,342.7,-2.650000000000034,2.0
BANKNIFTY22110341600CE,2022-11-01 09:16:17,2022-11-01 09:16:19,1.0,258.1,258.5,0.39999999999997726,2.0
BANKNIFTY22110341700CE,2022-11-01 09:16:19,2022-11-01 09:16:25,1.0,213.9,212.2,-1.700000000000017,6.0
BANKNIFTY22110341700PE,2022-11-01 09:16:19,2022-11-01 09:16:25,1.0,396.6,401.45,4.849999999999966,6.0
BANKNIFTY22110341600PE,2022-11-01 09:16:25,2022-11-01 09:31:57,1.0,345.95,335.15,-10.800000000000011,932.0
BANKNIFTY22110341600CE,2022-11-01 09:16:25,2022-11-01 09:31:57,1.0,257.75,251.95,-5.800000000000011,932.0
BANKNIFTY22110341700CE,2022-11-01 09:31:57,2022-11-01 09:32:00,1.0,205.0,205.7,0.6999999999999886,3.0
BANKNIFTY22110341700PE,2022-11-01 09:31:57,2022-11-01 09:32:00,1.0,389.2,389.55,0.35000000000002274,3.0
BANKNIFTY22110341600CE,2022-11-01 09:32:00,2022-11-01 09:32:08,1.0,250.4,252.5,2.0999999999999943,8.0
BANKNIFTY22110341600PE,2022-11-01 09:32:00,2022-11-01 09:32:08,1.0,335.05,333.2,-1.8500000000000227,8.0
BANKNIFTY22110341700CE,2022-11-01 09:32:08,2022-11-01 09:32:13,1.0,205.25,205.95,0.6999999999999886,5.0
BANKNIFTY22110341700PE,2022-11-01 09:32:08,2022-11-01 09:32:13,1.0,386.05,387.9,1.849999999999966,5.0
BANKNIFTY22110341600CE,2022-11-01 09:32:13,2022-11-01 09:32:25,1.0,251.95,252.8,0.8500000000000227,12.0
BANKNIFTY22110341600PE,2022-11-01 09:32:13,2022-11-01 09:32:25,1.0,333.95,332.1,-1.849999999999966,12.0
BANKNIFTY22110341700CE,2022-11-01 09:32:25,2022-11-01 09:33:00,1.0,206.15,203.75,-2.4000000000000057,35.0
BANKNIFTY22110341700PE,2022-11-01 09:32:25,2022-11-01 09:33:00,1.0,386.05,387.65,1.599999999999966,35.0
BANKNIFTY22110341600CE,2022-11-01 09:33:00,2022-11-01 09:33:01,1.0,250.8,252.1,1.299999999999983,1.0
BANKNIFTY22110341600PE,2022-11-01 09:33:00,2022-11-01 09:33:01,1.0,333.1,332.25,-0.8500000000000227,1.0
BANKNIFTY22110341700CE,2022-11-01 09:33:01,2022-11-01 09:34:27,1.0,204.45,204.3,-0.14999999999997726,86.0
BANKNIFTY22110341700PE,2022-11-01 09:33:01,2022-11-01 09:34:27,1.0,385.85,389.0,3.1499999999999773,86.0
BANKNIFTY22110341600CE,2022-11-01 09:34:27,2022-11-01 09:35:05,1.0,250.55,253.05,2.5,38.0
BANKNIFTY22110341600PE,2022-11-01 09:34:27,2022-11-01 09:35:05,1.0,335.5,331.0,-4.5,38.0
BANKNIFTY22110341700CE,2022-11-01 09:35:05,2022-11-01 09:35:13,1.0,206.85,201.9,-4.949999999999989,8.0
BANKNIFTY22110341700PE,2022-11-01 09:35:05,2022-11-01 09:35:13,1.0,384.65,392.0,7.350000000000023,8.0
BANKNIFTY22110341600PE,2022-11-01 09:35:13,2022-11-01 09:40:22,1.0,337.4,332.45,-4.949999999999989,309.0
BANKNIFTY22110341600CE,2022-11-01 09:35:13,2022-11-01 09:40:22,1.0,248.6,252.95,4.349999999999994,309.0
BANKNIFTY22110341700CE,2022-11-01 09:40:22,2022-11-01 09:46:03,1.0,205.95,261.0,55.05000000000001,341.0
BANKNIFTY22110341700PE,2022-11-01 09:40:22,2022-11-01 09:46:03,1.0,386.2,345.0,-41.19999999999999,341.0
BANKNIFTY22110341800PE,2022-11-01 09:46:03,2022-11-01 10:23:40,1.0,400.0,402.75,2.75,2257.0
BANKNIFTY22110341800CE,2022-11-01 09:46:03,2022-11-01 10:23:40,1.0,215.85,212.15,-3.6999999999999886,2257.0
NIFTY22110318200CE,2022-11-01 09:48:41,2022-11-01 09:56:35,1.0,60.6,61.55,0.9499999999999957,474.0
NIFTY22110318200PE,2022-11-01 09:48:41,2022-11-01 09:56:35,1.0,127.0,127.35,0.3499999999999943,474.0
NIFTY22110318150PE,2022-11-01 09:56:35,2022-11-01 09:56:36,1.0,100.8,100.25,-0.5499999999999972,1.0
NIFTY22110318150CE,2022-11-01 09:56:35,2022-11-01 09:56:36,1.0,85.05,85.7,0.6500000000000057,1.0
NIFTY22110318200CE,2022-11-01 09:56:36,2022-11-01 12:16:01,1.0,62.0,59.1,-2.8999999999999986,8365.0
NIFTY22110318200PE,2022-11-01 09:56:36,2022-11-01 12:16:01,1.0,127.0,130.2,3.1999999999999886,8365.0
BANKNIFTY22110341700PE,2022-11-01 10:23:40,2022-11-01 10:24:31,1.0,347.55,343.15,-4.400000000000034,51.0
BANKNIFTY22110341700CE,2022-11-01 10:23:40,2022-11-01 10:24:31,1.0,258.3,258.6,0.30000000000001137,51.0
BANKNIFTY22110341800PE,2022-11-01 10:24:31,2022-11-01 10:24:39,1.0,399.0,399.05,0.05000000000001137,8.0
BANKNIFTY22110341800CE,2022-11-01 10:24:31,2022-11-01 10:24:39,1.0,213.75,212.15,-1.5999999999999943,8.0
BANKNIFTY22110341700PE,2022-11-01 10:24:39,2022-11-01 10:25:19,1.0,344.4,344.95,0.5500000000000114,40.0
BANKNIFTY22110341700CE,2022-11-01 10:24:39,2022-11-01 10:25:19,1.0,257.75,259.25,1.5,40.0
BANKNIFTY22110341800PE,2022-11-01 10:25:19,2022-11-01 10:25:22,1.0,400.95,400.0,-0.9499999999999886,3.0
BANKNIFTY22110341800CE,2022-11-01 10:25:19,2022-11-01 10:25:22,1.0,214.25,214.05,-0.19999999999998863,3.0
BANKNIFTY22110341700CE,2022-11-01 10:25:22,2022-11-01 10:25:25,1.0,259.4,258.85,-0.5499999999999545,3.0
BANKNIFTY22110341700PE,2022-11-01 10:25:22,2022-11-01 10:25:25,1.0,345.25,344.0,-1.25,3.0
BANKNIFTY22110341800PE,2022-11-01 10:25:25,2022-11-01 10:25:35,1.0,399.65,402.5,2.8500000000000227,10.0
BANKNIFTY22110341800CE,2022-11-01 10:25:25,2022-11-01 10:25:35,1.0,214.5,212.9,-1.5999999999999943,10.0
BANKNIFTY22110341700PE,2022-11-01 10:25:35,2022-11-01 10:25:36,1.0,346.85,347.25,0.39999999999997726,1.0
BANKNIFTY22110341700CE,2022-11-01 10:25:35,2022-11-01 10:25:36,1.0,257.75,259.0,1.25,1.0
BANKNIFTY22110341800CE,2022-11-01 10:25:36,2022-11-01 10:25:38,1.0,214.0,214.1,0.09999999999999432,2.0
BANKNIFTY22110341800PE,2022-11-01 10:25:36,2022-11-01 10:25:38,1.0,400.75,401.05,0.30000000000001137,2.0
